producto_id,nombre,categoria,precio_unitario,costo,color
1002,Cartera clásica marrón,Carteras,14800,7950,Marrón
1001,Cartera clásica negro,Carteras,14800,7950,Negro
1012,Cartera clásica beige,Carteras,14800,7950,Beige
1005,Cartera clásica gris,Carteras,14800,7950,Gris
1004,Cartera clásica azul,Carteras,14800,7950,Azul
1011,Cartera clásica celeste,Carteras,14800,7950,Celeste
2012,Cartera de cuero beige,Carteras,15800,7220,Beige
2002,Cartera de cuero marrón,Carteras,15800,7220,Marrón
3012,Riñonera urbana beige,Accesorios,9700,5110,Beige
3009,Riñonera urbana blanco,Accesorios,9700,5110,Blanco
3002,Riñonera urbana marrón,Accesorios,9700,5110,Marrón
3010,Riñonera urbana mostaza,Accesorios,9700,5110,Mostaza
3007,Riñonera urbana rojo,Accesorios,9700,5110,Rojo
3001,Riñonera urbana negro,Accesorios,9700,5110,Negro
4002,Mochila de cuero marrón,Carteras,21200,10980,Marrón
5004,Campera biker azul,Ropa,28700,14590,Azul
5009,Campera biker blanco,Ropa,28700,14590,Blanco
6001,Campera bomber negro,Ropa,27800,14600,Negro
6009,Campera bomber blanco,Ropa,27800,14600,Blanco
6004,Campera bomber azul,Ropa,27800,14600,Azul
6012,Campera bomber beige,Ropa,27800,14600,Beige
6011,Campera bomber celeste,Ropa,27800,14600,Celeste
7009,Camisa lino blanco,Ropa,17400,8190,Blanco
7007,Camisa lino rojo,Ropa,17400,8190,Rojo
7004,Camisa lino azul,Ropa,17400,8190,Azul
7008,Camisa lino camel,Ropa,17400,8190,Camel
7010,Camisa lino mostaza,Ropa,17400,8190,Mostaza
7005,Camisa lino gris,Ropa,17400,8190,Gris
8013,Pantalón cargo nude,Ropa,19800,10000,Nude
9012,Cinturón trenzado beige,Accesorios,6200,2790,Beige
9007,Cinturón trenzado rojo,Accesorios,6200,2790,Rojo
10005,Cinturón liso gris,Accesorios,5800,2750,Gris
10003,Cinturón liso bordó,Accesorios,5800,2750,Bordó
10004,Cinturón liso azul,Accesorios,5800,2750,Azul
11002,Billetera clásica marrón,Accesorios,8800,4420,Marrón
11015,Billetera clásica naranja,Accesorios,8800,4420,Naranja
11007,Billetera clásica rojo,Accesorios,8800,4420,Rojo
